id,campaign,rank,business,city,state,country,industry,google_rating,reviews,website,website_status,followers,platform,owner,email,phone,instagram,lead_score,deal_value,pitch_hook,deliverability_score,is_deliverable,status,stage,probability
GLB-UK-001,Global-Tech-Agencies,1,Grow Up Digital,London,Greater London,United Kingdom,Digital Agency & Web Solutions,5.0,42,growupdigital.co.uk,PARTNER_INTEGRATION,1500,LinkedIn,Grow Up Digital Team,info@growupdigital.co.uk,+44 20 7946 0912,@growupdigitaluk,94,850.0,"White-label AI product engineering, custom SaaS web apps, and modern mobile app development support.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-UK-002,Global-Tech-Agencies,2,Fashicon Limited,London,Greater London,United Kingdom,Creative Web Studio,4.9,38,fashicon.co.uk,PARTNER_INTEGRATION,2100,Instagram,Fashicon Creative Team,info@fashicon.co.uk,+44 20 7946 0843,@fashiconuk,92,750.0,High-speed Next.js React frontend development and embedded AI interactive customer widgets.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-AUS-001,Global-Tech-Agencies,3,Polar Web Agency,Sydney,NSW,Australia,Web Development & Growth,5.0,56,polarwebdesign.com.au,PARTNER_INTEGRATION,3400,LinkedIn,Polar Management,info@polarwebdesign.com.au,+61 2 9123 4567,@polarwebdesign,95,900.0,AI workflow automation bots and full-stack web application development for Australian businesses.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-CAN-001,Global-Tech-Agencies,4,WebKings Digital,London,Ontario,Canada,Full-Stack Development Studio,4.9,65,webkings.ca,PARTNER_INTEGRATION,2800,LinkedIn,WebKings Management,info@webkings.ca,+1 (519) 555-0144,@webkingsca,93,850.0,Dedicated mobile app engineering (iOS/Android/Flutter) and 24/7 AI lead intake models.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-UK-003,Global-Healthcare-Dental,5,East Village Dental,London,Greater London,United Kingdom,Cosmetic & Family Dentistry,4.9,320,eastvillagedental.co.uk,NEEDS_AI_UPGRADE,4100,Instagram,East Village Practice Management,receptionCT@eastvillagedental.co.uk,+44 20 8522 1444,@eastvillagedental,96,850.0,"24/7 AI Patient Booking Receptionist, smile makeover consultation intake, and automatic appointment reminders.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-001,Global-Healthcare-Dental,6,Upper West Side Oral Surgery,New York,NY,United States,Oral & Maxillofacial Surgery,4.9,290,uwsoralsurgery.com,NEEDS_AI_UPGRADE,3200,Instagram,UWS Oral Surgery Team,info@uwsoralsurgery.com,+1 (212) 555-0199,@uwsoralsurgery,95,900.0,"High-ticket surgical consultation intake funnel, patient portal, and 24/7 AI emergency triage assistant.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-002,Global-Healthcare-Dental,7,Midtown Dental Care Associates,New York,NY,United States,Cosmetic & Restorative Dentistry,4.8,410,midtowndentalcareassociates.com,NEEDS_AI_UPGRADE,4800,Instagram,Midtown Dental Team,info@midtowndentalcareassociates.com,+1 (212) 555-0144,@midtowndentalcare,94,850.0,"Direct digital insurance verification intake, cosmetic veneer simulator, and 24/7 AI booking.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-003,Global-Healthcare-Dental,8,Luxe Rx NYC,New York,NY,United States,Luxury Aesthetic Dentistry,5.0,180,luxerxnyc.com,NEEDS_AI_UPGRADE,8900,Instagram,Luxe Rx Concierge,info@luxerxnyc.com,+1 (212) 555-0177,@luxerxnyc,96,950.0,"VIP mobile app experience, instant aesthetic quote calculator, and automated treatment plan upselling.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-AUS-002,Global-Healthcare-Dental,9,Henley Dental,Sydney,NSW,Australia,Dental Clinic,4.9,230,henleydental.com.au,NEEDS_AI_UPGRADE,2700,Instagram,Henley Dental Team,info@henleydental.com.au,+61 2 9746 1234,@henleydental,93,800.0,"Automated patient re-care scheduling, 24/7 AI booking assistant, and mobile-first dental web portal.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-UK-004,Global-RealEstate-Legal,10,CORNERSTONE Luxury Real Estate,London,Greater London,United Kingdom,Luxury Property & Asset Management,4.9,95,cornerstone.london,NEEDS_AI_UPGRADE,14500,Instagram,Cornerstone Client Relations,info@cornerstone.london,+44 20 7123 4567,@cornerstonelondon,97,1000.0,High-net-worth property showcase portal with 3D virtual tour integration and AI investor intake.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
