Lead ID,Business Name,Category,Decision Maker,Email Address,Phone Number,Website Status,Current Website URL,Facebook Profile,Instagram Profile,Google Rating,Review Count,Street Address,City,State / Region,Postal Code,Country,Lead Score (0-100),Est. Annual Revenue,Est. Employee Count,Buying Intent Score,SWOT Top Strength,SWOT Critical Deficit,AI Recommended Pitch Hook,AI Pitch Preview,Outreach Status
LEAD-0001,EcoPlumb Plumbing Services,Plumber,David Murphy,hello@ecoplumbplumbingcork.ie,+353 21 342 2679,SOCIAL,https://facebook.com/ecoplumbplumbing,https://facebook.com/ecoplumbplumbing,None,4.6★,137,8 Grand Parade,Cork,Munster,T12 0007,IE,91.75,$250k - $750k,10-25,90/100,Strong local reputation (4.6★ across 137 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding EcoPlumb Plumbing Services vs other plumbers in Cork,"Hi,  I was researching plumbers in Cork and noticed that while EcoPlumb Plumbing Services has a great reputation, other plumbers in Cork is currently capturing a significant share of local Google Sear...",READY (Approved)
LEAD-0002,Crown Roofing Solutions,Roofing,Samuel Lewis,enquiries@crownroofingsolugalway.ie,+353 91 484 1106,SOCIAL,https://facebook.com/crownroofingsolu,https://facebook.com/crownroofingsolu,https://instagram.com/crownroofingsolu,4.3★,105,56 Bridge Street,Galway,Connacht,H91 0004,IE,90.75,$500k - $1.5M,10-25,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Crown Roofing Solutions vs other roofings in Galway,"Hi,  I was researching roofings in Galway and noticed that while Crown Roofing Solutions has a great reputation, other roofings in Galway is currently capturing a significant share of local Google Sea...",READY (Approved)
LEAD-0003,VoltCraft Power Solutions,Electrician,William Jackson,enquiries@voltcraftpowersolimerick.ie,+353 61 327 7201,MISSING,None (Missing),https://facebook.com/voltcraftpowerso,None,4.7★,32,50 Grand Parade,Limerick,Munster,V94 0002,IE,79.35,$300k - $800k,5-12,90/100,Strong local reputation (4.7★ across 32 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding VoltCraft Power Solutions vs other electricians in Limerick,"Hi,  I was researching electricians in Limerick and noticed that while VoltCraft Power Solutions has a great reputation, other electricians in Limerick is currently capturing a significant share of lo...",READY (Approved)
LEAD-0004,The Artisan Grill & Tavern,Restaurant,Sophie Johnson,sophie@theartisangrilltwaterford.ie,+353 51 850 6977,MISSING,None (Missing),https://facebook.com/theartisangrillt,None,4.3★,34,19 Market Square,Waterford,Munster,X91 0018,IE,82.95,$400k - $1.5M,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding The Artisan Grill & Tavern vs other restaurants in Waterford,"Hi,  I was researching restaurants in Waterford and noticed that while The Artisan Grill & Tavern has a great reputation, other restaurants in Waterford is currently capturing a significant share of l...",READY (Approved)
LEAD-0005,Wild Flour Specialty Coffee,Cafe,Lily Anderson,hello@wildflourspecialbelfast.co.uk,+44 28 232 6168,MISSING,None (Missing),https://facebook.com/wildflourspecial,None,4.3★,61,55 Merchant's Quay,Belfast,Ulster,BT13 758AB,GB,77.75,$200k - $600k,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Wild Flour Specialty Coffee vs other cafes in Belfast,"Hi,  I was researching cafes in Belfast and noticed that while Wild Flour Specialty Coffee has a great reputation, other cafes in Belfast is currently capturing a significant share of local Google Sea...",READY (Approved)
LEAD-0006,Chic Studio Hair Designers,Salon,Lily O'Neill,enquiries@chicstudiohairdelondon.co.uk,+44 20 608 6930,MISSING,None (Missing),None,https://instagram.com/chicstudiohairde,4.6★,57,29 King Street,London,Greater London,EC21A 263AA,GB,82.65,$200k - $500k,5-12,90/100,Strong local reputation (4.6★ across 57 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Chic Studio Hair Designers vs other salons in London,"Hi,  I was researching salons in London and noticed that while Chic Studio Hair Designers has a great reputation, other salons in London is currently capturing a significant share of local Google Sear...",READY (Approved)
LEAD-0007,Hall's Gym,Gym,William Hall,enquiries@hallsgymmanchester.co.uk,+44 161 211 2876,SOCIAL,https://facebook.com/hallsgym,https://facebook.com/hallsgym,https://instagram.com/hallsgym,4.2★,124,29 Oak Lane,Manchester,Greater Manchester,M14 261CD,GB,89.75,$350k - $900k,10-25,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Hall's Gym vs other gyms in Manchester,"Hi,  I was researching gyms in Manchester and noticed that while Hall's Gym has a great reputation, other gyms in Manchester is currently capturing a significant share of local Google Search traffic b...",READY (Approved)
LEAD-0008,Vanguard Legal Associates,Lawyer,Hannah McCarthy,contact@vanguardlegalassedinburgh.co.uk,+44 131 854 9317,SOCIAL,https://facebook.com/vanguardlegalass,https://facebook.com/vanguardlegalass,https://instagram.com/vanguardlegalass,4.2★,133,136 High Street,Edinburgh,Scotland,EH20 431EF,GB,91.75,$600k - $2.5M,10-25,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Vanguard Legal Associates vs other lawyers in Edinburgh,"Hi,  I was researching lawyers in Edinburgh and noticed that while Vanguard Legal Associates has a great reputation, other lawyers in Edinburgh is currently capturing a significant share of local Goog...",READY (Approved)
LEAD-0009,Centurion Financial Consultants,Accountant,Ethan Thomas,enquiries@centurionfinancibirmingham.co.uk,+44 121 280 2403,SOCIAL,https://facebook.com/centurionfinanci,https://facebook.com/centurionfinanci,None,4.3★,148,33 King Street,Birmingham,West Midlands,B22 586GH,GB,89.75,$400k - $1.2M,10-25,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Centurion Financial Consultants vs other accountants in Birmingham,"Hi,  I was researching accountants in Birmingham and noticed that while Centurion Financial Consultants has a great reputation, other accountants in Birmingham is currently capturing a significant sha...",READY (Approved)
LEAD-0010,Apex Motors Motor Works,Car Repair,William Lee,contact@apexmotorsmotorwnewyork.com,+1 212 608 7118,MISSING,None (Missing),https://facebook.com/apexmotorsmotorw,https://instagram.com/apexmotorsmotorw,4.2★,3,142 Park Avenue,New York,New York,10019,US,74.75,$350k - $850k,2-5,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Apex Motors Motor Works vs other car repairs in New York,"Hi,  I was researching car repairs in New York and noticed that while Apex Motors Motor Works has a great reputation, other car repairs in New York is currently capturing a significant share of local ...",READY (Approved)
LEAD-0011,Lumina Visual Media Studio,Photographer,Sophie Walsh,info@luminavisualmediaustin.com,+1 512 726 4899,MISSING,None (Missing),https://facebook.com/luminavisualmedi,https://instagram.com/luminavisualmedi,4.8★,63,148 Merchant's Quay,Austin,Texas,78708,US,81.85,$150k - $400k,5-12,90/100,Strong local reputation (4.8★ across 63 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Lumina Visual Media Studio vs other photographers in Austin,"Hi,  I was researching photographers in Austin and noticed that while Lumina Visual Media Studio has a great reputation, other photographers in Austin is currently capturing a significant share of loc...",READY (Approved)
LEAD-0012,The Foundry Celebration Spaces,Event Venue,Fiona Lee,fiona@thefoundrycelebrchicago.com,+1 312 678 1887,SOCIAL,https://facebook.com/thefoundrycelebr,https://facebook.com/thefoundrycelebr,None,4.6★,56,87 George's Street,Chicago,Illinois,60608,US,95.05,$500k - $2.0M,5-12,90/100,Strong local reputation (4.6★ across 56 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding The Foundry Celebration Spaces vs other event venues in Chicago,"Hi,  I was researching event venues in Chicago and noticed that while The Foundry Celebration Spaces has a great reputation, other event venues in Chicago is currently capturing a significant share of...",READY (Approved)
LEAD-0013,Flour Power Bakehouse,Bakery,Sarah White,info@flourpowerbakehomiami.com,+1 305 653 2604,MISSING,None (Missing),None,None,4.3★,64,61 Market Square,Miami,Florida,33114,US,63.95,$200k - $550k,5-12,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Flour Power Bakehouse vs other bakerys in Miami,"Hi,  I was researching bakerys in Miami and noticed that while Flour Power Bakehouse has a great reputation, other bakerys in Miami is currently capturing a significant share of local Google Search tr...",READY (Approved)
LEAD-0014,Miller's Contractor,Contractor,Aoife Miller,aoife@millerscontractoseattle.com,+1 206 471 8454,MISSING,None (Missing),https://facebook.com/millerscontracto,None,4.9★,30,125 King Street,Seattle,Washington,98107,US,84.75,$600k - $2.5M,2-5,80/100,Strong local reputation (4.9★ across 30 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Miller's Contractor vs other contractors in Seattle,"Hi,  I was researching contractors in Seattle and noticed that while Miller's Contractor has a great reputation, other contractors in Seattle is currently capturing a significant share of local Google...",READY (Approved)
LEAD-0015,Meadow Veterinary Hospital,Veterinary,Samuel Byrne,info@meadowveterinarysydney.com.au,+61 2 798 8811,MISSING,None (Missing),None,https://instagram.com/meadowveterinary,4.5★,33,48 Grand Parade,Sydney,New South Wales,20020,AU,79.35,$450k - $1.3M,5-12,90/100,Strong local reputation (4.5★ across 33 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Meadow Veterinary Hospital vs other veterinarys in Sydney,"Hi,  I was researching veterinarys in Sydney and noticed that while Meadow Veterinary Hospital has a great reputation, other veterinarys in Sydney is currently capturing a significant share of local G...",READY (Approved)
LEAD-0016,Grand Family Dentistry,Dentist,Joseph Thomas,info@grandfamilydentimelbourne.com.au,+61 3 834 2343,MISSING,None (Missing),https://facebook.com/grandfamilydenti,https://instagram.com/grandfamilydenti,4.7★,19,81 Park Avenue,Melbourne,Victoria,3009,AU,81.65,$400k - $1.2M,2-5,80/100,Strong local reputation (4.7★ across 19 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Grand Family Dentistry vs other dentists in Melbourne,"Hi,  I was researching dentists in Melbourne and noticed that while Grand Family Dentistry has a great reputation, other dentists in Melbourne is currently capturing a significant share of local Googl...",READY (Approved)
LEAD-0017,QuickFlow Plumbing Solutions,Plumber,Marcus Walsh,enquiries@quickflowplumbintoronto.ca,+1 416 776 2638,MISSING,None (Missing),https://facebook.com/quickflowplumbin,https://instagram.com/quickflowplumbin,4.8★,59,63 Broad Street,Toronto,Ontario,M5V 10K261,CA,80.75,$250k - $750k,5-12,90/100,Strong local reputation (4.8★ across 59 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding QuickFlow Plumbing Solutions vs other plumbers in Toronto,"Hi,  I was researching plumbers in Toronto and noticed that while QuickFlow Plumbing Solutions has a great reputation, other plumbers in Toronto is currently capturing a significant share of local Goo...",READY (Approved)
LEAD-0018,Summit Roof Repairs & Cladding,Roofing,Ruby Gallagher,info@summitroofrepairvancouver.ca,+1 604 337 5333,MISSING,None (Missing),https://facebook.com/summitroofrepair,https://instagram.com/summitroofrepair,4.6★,36,88 Church Road,Vancouver,British Columbia,V6B 22L749,CA,81.55,$500k - $1.5M,5-12,90/100,Strong local reputation (4.6★ across 36 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Summit Roof Repairs & Cladding vs other roofings in Vancouver,"Hi,  I was researching roofings in Vancouver and noticed that while Summit Roof Repairs & Cladding has a great reputation, other roofings in Vancouver is currently capturing a significant share of loc...",READY (Approved)
